Title,Home,Away,Court,Date,Time
The Splashware Engineers vs Another Brick in the Wall,The Splashware Engineers,Another Brick in the Wall,43,07/15/2024,5:30
Fellas of Finance vs 2024 MSHoops Redeem Team,Fellas of Finance,2024 MSHoops Redeem Team,92,07/15/2024,4:30
Hoopsters vs Satya's Directs,Hoopsters,Satya's Directs,92,07/15/2024,5:30
Layup Legends vs Infinite Hoop,Layup Legends,Infinite Hoop,redwest,07/15/2024,4:30
Chain Blockers vs CommishCrew,Chain Blockers,CommishCrew,43,07/15/2024,6:30
Satya's Directs vs Chain Blockers,Satya's Directs,Chain Blockers,redwest,07/16/2024,5:30
Another Brick in the Wall vs Infinite Hoop,Another Brick in the Wall,Infinite Hoop,92,07/16/2024,6:30
CommishCrew vs Hoopsters,CommishCrew,Hoopsters,redwest,07/16/2024,6:30
The Splashware Engineers vs Layup Legends,The Splashware Engineers,Layup Legends,92,07/16/2024,5:30
Fellas of Finance vs Another Brick in the Wall,Fellas of Finance,Another Brick in the Wall,redwest,07/22/2024,5:30
CommishCrew vs Satya's Directs,CommishCrew,Satya's Directs,92,07/22/2024,5:30
Hoopsters vs Chain Blockers,Hoopsters,Chain Blockers,43,07/22/2024,5:30
2024 MSHoops Redeem Team vs Infinite Hoop,2024 MSHoops Redeem Team,Infinite Hoop,redwest,07/22/2024,6:30
Fellas of Finance vs Satya's Directs,Fellas of Finance,Satya's Directs,redwest,07/23/2024,6:30
Hoopsters vs 2024 MSHoops Redeem Team,Hoopsters,2024 MSHoops Redeem Team,43,07/23/2024,6:30
The Splashware Engineers vs CommishCrew,The Splashware Engineers,CommishCrew,redwest,07/23/2024,5:30
Chain Blockers vs Another Brick in the Wall,Chain Blockers,Another Brick in the Wall,redwest,07/23/2024,4:30
Infinite Hoop vs The Splashware Engineers,Infinite Hoop,The Splashware Engineers,43,07/24/2024,6:30
Fellas of Finance vs CommishCrew,Fellas of Finance,CommishCrew,92,07/29/2024,5:30
The Splashware Engineers vs 2024 MSHoops Redeem Team,The Splashware Engineers,2024 MSHoops Redeem Team,redwest,07/29/2024,5:30
Satya's Directs vs Infinite Hoop,Satya's Directs,Infinite Hoop,redwest,07/29/2024,6:30
Another Brick in the Wall vs Layup Legends,Another Brick in the Wall,Layup Legends,43,07/29/2024,5:30
Chain Blockers vs 2024 MSHoops Redeem Team,Chain Blockers,2024 MSHoops Redeem Team,92,07/30/2024,6:30
Fellas of Finance vs The Splashware Engineers,Fellas of Finance,The Splashware Engineers,redwest,07/30/2024,5:30
Infinite Hoop vs CommishCrew,Infinite Hoop,CommishCrew,redwest,07/30/2024,6:30
Another Brick in the Wall vs Hoopsters,Another Brick in the Wall,Hoopsters,43,07/30/2024,6:30
Layup Legends vs Satya's Directs,Layup Legends,Satya's Directs,92,07/30/2024,5:30
Another Brick in the Wall vs 2024 MSHoops Redeem Team,Another Brick in the Wall,2024 MSHoops Redeem Team,92,08/05/2024,4:30
Infinite Hoop vs Fellas of Finance,Infinite Hoop,Fellas of Finance,92,08/05/2024,6:30
Hoopsters vs The Splashware Engineers,Hoopsters,The Splashware Engineers,43,08/05/2024,4:30
Chain Blockers vs Layup Legends,Chain Blockers,Layup Legends,redwest,08/05/2024,4:30
2024 MSHoops Redeem Team vs CommishCrew,2024 MSHoops Redeem Team,CommishCrew,92,08/06/2024,6:30
Chain Blockers vs Infinite Hoop,Chain Blockers,Infinite Hoop,43,08/06/2024,5:30
Hoopsters vs Fellas of Finance,Hoopsters,Fellas of Finance,redwest,08/06/2024,5:30
The Splashware Engineers vs Satya's Directs,The Splashware Engineers,Satya's Directs,redwest,08/06/2024,6:30
CommishCrew vs Another Brick in the Wall,CommishCrew,Another Brick in the Wall,92,08/07/2024,4:30
Fellas of Finance vs Chain Blockers,Fellas of Finance,Chain Blockers,redwest,08/12/2024,6:30
Layup Legends vs Hoopsters,Layup Legends,Hoopsters,92,08/12/2024,5:30
2024 MSHoops Redeem Team vs Satya's Directs,2024 MSHoops Redeem Team,Satya's Directs,redwest,08/12/2024,4:30
